Board Game Rank,Title,URL,Geek Rating,Avg Rating,Num Voters
N/A,Rus': Rise of Russia 20 BC - AD1584,https://boardgamegeek.com/boardgame/1158/rus-rise-russia-20-bc-ad1584,N/A,6.54,21
N/A,Delfino,https://boardgamegeek.com/boardgame/1165/delfino,N/A,4.39,18
N/A,Dow Jones,https://boardgamegeek.com/boardgame/1166/dow-jones,N/A,3.18,19
N/A,Geisterstunde,https://boardgamegeek.com/boardgame/1169/geisterstunde,N/A,5.81,19
N/A,Lucky Five,https://boardgamegeek.com/boardgame/1172/lucky-five,N/A,4.53,16
N/A,Tendix,https://boardgamegeek.com/boardgame/1179/tendix,N/A,5.69,16
N/A,Turmbau zu Babylon,https://boardgamegeek.com/boardgame/1180/turmbau-zu-babylon,N/A,N/A,N/A
N/A,Tschau Knacki,https://boardgamegeek.com/boardgame/1181/tschau-knacki,N/A,3.44,9
N/A,Walkabout,https://boardgamegeek.com/boardgame/1183/walkabout,N/A,5.94,8
N/A,Casablanca,https://boardgamegeek.com/boardgame/1185/casablanca,N/A,5.25,18
N/A,C'est la Vie,https://boardgamegeek.com/boardgame/1186/cest-la-vie,N/A,3.71,14
N/A,Cloudbusters,https://boardgamegeek.com/boardgame/1195/cloudbusters,N/A,6.20,5
N/A,RallySport Board Game,https://boardgamegeek.com/boardgame/1204/rallysport-board-game,N/A,5.17,6
N/A,Kommando,https://boardgamegeek.com/boardgame/1214/kommando,N/A,6.24,27
N/A,Looping,https://boardgamegeek.com/boardgame/1220/looping,N/A,4.54,22
N/A,Fat Cats,https://boardgamegeek.com/boardgame/1223/fat-cats,N/A,5.30,25
N/A,Gods,https://boardgamegeek.com/boardgame/1224/gods,N/A,6.94,8
N/A,Maneuver,https://boardgamegeek.com/boardgame/1228/maneuver,N/A,6.42,13
N/A,So ein Zirkus,https://boardgamegeek.com/boardgame/1236/so-ein-zirkus,N/A,6.04,26
N/A,Schlangennest,https://boardgamegeek.com/boardgame/1238/schlangennest,N/A,5.75,26
N/A,BattleGrid,https://boardgamegeek.com/boardgame/1241/battlegrid,N/A,5.53,6
N/A,Hacker II: The Dark Side,https://boardgamegeek.com/boardgameexpansion/1248/hacker-ii-dark-side,5.552,6.25,179
N/A,Octet,https://boardgamegeek.com/boardgame/1292/octet,N/A,5.95,5
N/A,Contra,https://boardgamegeek.com/boardgame/1328/contra,N/A,6.40,15
N/A,Ancient Empires,https://boardgamegeek.com/boardgame/1332/ancient-empires,N/A,6.19,12
N/A,Doubloon Lagoon,https://boardgamegeek.com/boardgame/1340/doubloon-lagoon,N/A,5.00,3
N/A,Simple GBoH,https://boardgamegeek.com/boardgameexpansion/1347/simple-gboh,5.740,7.52,290
N/A,"Atlantic, Chicago and Pacific Rails",https://boardgamegeek.com/boardgame/1349/atlantic-chicago-and-pacific-rails,N/A,4.67,18
N/A,Play to Become a Millionaire,https://boardgamegeek.com/boardgame/1357/play-become-millionaire,N/A,6.53,9
N/A,Die Siedler von Catan: Historische Szenarien II,https://boardgamegeek.com/boardgameexpansion/1361/die-siedler-von-catan-historische-szenarien-ii,5.818,6.92,613
N/A,Earthdefenders,https://boardgamegeek.com/boardgame/1369/earthdefenders,N/A,N/A,N/A
N/A,Abenteuer im Wichtelwald,https://boardgamegeek.com/boardgame/1384/abenteuer-im-wichtelwald,N/A,5.96,23
N/A,Alarm,https://boardgamegeek.com/boardgame/1386/alarm,N/A,5.94,21
N/A,Alles klar?,https://boardgamegeek.com/boardgame/1388/alles-klar,N/A,5.37,27
N/A,Alles oder Nichts,https://boardgamegeek.com/boardgame/1389/alles-oder-nichts,N/A,5.06,17
N/A,Banking,https://boardgamegeek.com/boardgame/1392/banking,N/A,4.60,5
N/A,Breakout!,https://boardgamegeek.com/boardgame/1432/breakout,N/A,5.44,25
N/A,Scre-e-ech!,https://boardgamegeek.com/boardgame/1438/scre-e-ech,N/A,5.86,11
N/A,Dinoquest,https://boardgamegeek.com/boardgame/1440/dinoquest,N/A,5.45,20
N/A,Turtles,https://boardgamegeek.com/boardgame/1441/turtles,N/A,2.50,3
N/A,RYB,https://boardgamegeek.com/boardgame/1454/ryb,N/A,6.50,2
N/A,Rocketball,https://boardgamegeek.com/boardgame/1455/rocketball,N/A,5.00,4
N/A,"Run, Hamster, Run!",https://boardgamegeek.com/boardgame/1456/run-hamster-run,N/A,4.41,8
N/A,Peep War,https://boardgamegeek.com/boardgame/1458/peep-war,N/A,5.36,7
N/A,Crazy Rummy,https://boardgamegeek.com/boardgame/1462/crazy-rummy,N/A,4.36,7
N/A,Rebel Rails,https://boardgamegeek.com/boardgame/1466/rebel-rails,N/A,5.11,18
N/A,Entrepreneur,https://boardgamegeek.com/boardgame/1476/entrepreneur,N/A,5.41,23
N/A,VI Caesars,https://boardgamegeek.com/boardgame/1478/vi-caesars,N/A,6.45,24
N/A,Towers of Wyoming,https://boardgamegeek.com/boardgame/1479/towers-wyoming,N/A,4.50,2
N/A,Blind Ignorance,https://boardgamegeek.com/boardgame/1481/blind-ignorance,N/A,5.36,7
N/A,Domingo,https://boardgamegeek.com/boardgame/1485/domingo,N/A,4.33,6
N/A,Plunder,https://boardgamegeek.com/boardgame/1486/plunder,N/A,9.30,10
N/A,"Another Day, Another Dollar: Horror",https://boardgamegeek.com/boardgameexpansion/1487/another-day-another-dollar-horror,5.551,6.24,159
N/A,The Cigar Game,https://boardgamegeek.com/boardgame/1490/cigar-game,N/A,4.17,3
N/A,Manic Minelayers,https://boardgamegeek.com/boardgame/1492/manic-minelayers,N/A,6.00,3
N/A,Bohnanza Erweiterungs-Set (Revised Edition),https://boardgamegeek.com/boardgameexpansion/1494/bohnanza-erweiterungs-set-revised-edition,6.117,6.99,1484
N/A,Stash,https://boardgamegeek.com/boardgame/1495/stash,N/A,6.06,23
N/A,Isis,https://boardgamegeek.com/boardgame/1507/isis,N/A,5.93,14
N/A,Supremacy: Warlords and Pirates of the Neutral Zones,https://boardgamegeek.com/boardgameexpansion/1521/supremacy-warlords-and-pirates-neutral-zones,5.544,6.23,163
N/A,Pharao,https://boardgamegeek.com/boardgame/1523/pharao,N/A,6.63,19
N/A,PitchCar: Extension 1,https://boardgamegeek.com/boardgameexpansion/1526/pitchcar-extension-1,6.488,7.60,1818
N/A,Chief Herman's Holiday Fun Pack,https://boardgamegeek.com/boardgame/1528/chief-hermans-holiday-fun-pack,5.518,5.78,155
N/A,Ramses,https://boardgamegeek.com/boardgame/1529/ramses,N/A,6.30,28
N/A,Supremacy: Resource Deck Two,https://boardgamegeek.com/boardgameexpansion/1532/supremacy-resource-deck-two,5.555,6.48,132
