bgg_id,theme
816,"Economic, Transportation, Science Fiction, Space Exploration, Trains"
819,"Medical, Humor"
822,"Medieval, City Building"
823,"Adventure, Fantasy, Novel-based"
824,Arabian
825,Fighting
826,"Nautical, Pirates"
827,Ancient
828,"Adventure, Fantasy"
829,"Humor, Music, Theme_Music Making & Makers"
831,"Economic, Music"
833,"Post-Napoleonic, American Civil War"
834,Trivia
835,Political
836,"Economic, Trains"
840,"Fighting, Nautical, Pirates"
841,"Economic, Mafia"
843,"Fighting, Ancient, Racing"
844,Humor
847,Medieval
849,Sports
852,"Animals, Farming, Humor"
854,Political
855,"City Building, Theme_Tropical"
856,City Building
857,Nautical
859,"Science Fiction, Novel-based, Political"
860,Medieval
861,"Medieval, Theme_Sieg"
864,Fantasy
865,Political
866,Political
867,Transportation
869,Animals
870,Ancient
875,"Economic, Industry / Manufacturing, Transportation, Civilization, City Building"
876,Sports
877,"Civilization, Ancient, Theme_Archaeology / Paleontology"
878,American West
879,Racing
882,"Racing, Sports"
883,"Fighting, Medieval, Theme_Chivalry / Jousting / Tournaments (Medieval Europe)"
884,American West
886,"Economic, Renaissance, Theme_Gardening"
890,Racing
891,Trivia
895,Sports
899,"Movies / TV / Radio theme, Trivia, Theme_Movies"
900,Economic
902,"Fighting, Nautical, Pirates, Theme_Colonial"
904,"Movies / TV / Radio theme, Theme_Movie Industry"
906,"Fighting, American West"
908,Animals
910,Theme_Art
911,"Economic, Civilization, Medieval, Political"
912,"Nautical, World War II"
914,Science Fiction
915,"Medieval, Religious, Murder/Mystery"
916,"Nautical, Pirates"
917,Number
923,"Racing, Sports"
925,"Horror, Murder/Mystery"
927,Science Fiction
929,Medieval
930,Racing
932,Racing
933,"Music, Theme_Music Making & Makers"
934,Economic
935,"Economic, Transportation, Trains"
936,"Adventure, Fighting, Novel-based, Horror"
937,"Transportation, Trains"
938,"Adventure, Fantasy, Movies / TV / Radio theme"
939,"Fighting, Science Fiction, Movies / TV / Radio theme"
940,"Arabian, Racing, Theme_Deserts"
942,Racing
944,"Adventure, Fighting, Science Fiction, Humor"
947,Trivia
950,Horror
951,Sports
954,"American West, Racing"
955,"Fighting, Science Fiction, Theme_Kaiju"
956,"Economic, Civilization, City Building, Theme_Aztecs"
957,"Trains, Aviation / Flight, World War II"
958,"Fantasy, Fighting"
959,"Aviation / Flight, World War I, Theme_Airships / Blimps / Dirigibles / Zeppelins"
963,Theme_Gardening
964,Nautical
965,"Ancient, Racing"
975,"Movies / TV / Radio theme, Horror"
979,Movies / TV / Radio theme
980,"Farming, Mafia"
982,Science Fiction
984,Trivia
986,"Ancient, City Building"
987,"Civil War, Medieval, Political"
988,Racing
993,"Ancient, Farming"
999,Movies / TV / Radio theme
1001,"Mafia, Theme_Mystery / Cri"
1004,Fantasy
1007,"Medieval, Nautical, Theme_Hanseatic Leagu"
1011,"Fantasy, Sports, Theme_Fantasy Sports"
1012,Fantasy
1013,Economic
1014,"Economic, Medieval, City Building, Political"
1017,City Building
1019,Mafia
1027,Economic
1028,"Farming, Theme_Gardening"
1031,"Economic, Movies / TV / Radio theme, Theme_Television (TV) Industry"
1032,"Aviation / Flight, World War II"
1033,Ancient
1035,World War II
1036,Economic
1037,"Fantasy, Fighting, American West, Horror, City Building"
1041,"Medieval, Political"
1042,"Fantasy, Fighting"
1043,Racing
1044,"Fighting, American West"
1054,"Economic, Trains"
1056,Nautical
1065,Nautical
1066,"Fantasy, Medieval"
1070,"Fantasy, Theme_Trees and Forests"
1071,Theme_Aztecs
1073,"Adventure, Theme_Tropical"
1076,"Science Fiction, Movies / TV / Radio theme"
1081,Prehistoric
1084,Theme_Mayans
1093,"Nautical, Pirates"
1094,"Transportation, Travel, Spies/Secret Agents"
1095,Murder/Mystery
1096,Trivia
1098,"Fighting, Science Fiction, Comic Book / Strip, Theme_Superheroes"
1099,Maze
1101,"Arabian, Aviation / Flight, Racing"
1107,Animals
1117,"Animals, Humor"
1120,Racing
1122,"American West, City Building"
1125,Economic
1126,"Fighting, Science Fiction, Racing"
1127,"Adventure, Fantasy, Fighting, Medieval"
1130,Fighting
1133,"Economic, Mafia, Political"
1136,"Adventure, Fantasy, Fighting"
1138,"Fantasy, Fighting, Medieval, Horror"
1140,"Aviation / Flight, Racing, Theme_Hot Air Balloons"
1143,"Fighting, Medieval, Political"
1144,"Adventure, Fantasy, Fighting, Theme_Witches"
1145,"Fantasy, Fighting, Murder/Mystery, City Building"
1146,"Fantasy, Science Fiction"
1147,Murder/Mystery
1148,Medieval
1149,"Adventure, Fantasy, Fighting"
1150,Medieval
1152,"Adventure, Fantasy, Fighting, Medieval"
1155,"Ancient, City Building, Theme_Construction"
1156,"Adventure, Movies / TV / Radio theme, Novel-based, Horror"
1157,"Nautical, Murder/Mystery"
1159,"Science Fiction, Animals, Prehistoric, Theme_Evolution"
1160,City Building
1162,"Fantasy, Civilization, Prehistoric"
1167,"Racing, Theme_Flowers"
1171,"Number, Math"
1174,Political
1175,Theme_Movie Industry
1177,Animals
1178,Ancient
1184,Trains
1187,Fantasy
1188,Fantasy
1189,"Civil War, Pike and Shot"
1193,Economic
1194,"Racing, Sports"
1200,Trivia
1202,Fantasy
1203,Theme_Attorneys / Courts
1205,Ancient
1206,Economic
1207,Economic
1208,Trains
1209,"Post-Napoleonic, Political, Theme_Colonial"
1210,"Horror, Theme_Cthulhu Mythos"
1211,"Space Exploration, Nautical, Racing"
1212,"Modern Warfare, Political"
1213,"Modern Warfare, Political"
1216,Farming
1217,"Fantasy, Maze"
1218,"Fantasy, Racing, Maze"
1219,Maze
1221,Maze
1225,"Adventure, Fantasy, Medieval"
1227,Maze
1232,Political
1233,Trivia
1234,Humor
1235,"Animals, Farming"
1243,Trivia
1246,"Fighting, Science Fiction, Animals, Horror"
1247,Mafia
1249,"Animals, Theme_Safaris"
1250,"Political, Theme_Hackers"
1251,Renaissance
1252,"Ancient, Racing"
1256,"Science Fiction, Movies / TV / Radio theme"
1257,Science Fiction
1261,"Post-Napoleonic, City Building, Theme_City"
1262,World War II
1263,"Fighting, Medieval"
1265,Murder/Mystery
1267,"Animals, Racing"
1270,"Science Fiction, Movies / TV / Radio theme"
1275,"Novel-based, Murder/Mystery, Theme_Polic"
1278,Trains
1289,Medieval
1294,"Movies / TV / Radio theme, Murder/Mystery, Theme_Mystery / Cri"
1297,"Science Fiction, Movies / TV / Radio theme, Trivia"
1298,"Economic, Movies / TV / Radio theme"
1299,Trivia
1300,"Medieval, Travel"
1301,"Science Fiction, Theme_Cyberpunk"
1304,Religious
1305,Racing
1306,Theme_Volcanoes
1307,Horror
1309,"Fantasy, Economic"
1310,Movies / TV / Radio theme
1312,Economic
1313,Trains
1314,"Fantasy, Racing"
1318,"Medieval, Maze"
1319,"Fantasy, Racing"
1323,Medieval
1325,"Nautical, Pirates, Racing"
1326,"Adventure, Horror, Maze, Theme_Spooky Old Houses"
1330,"Animals, Racing"
1333,Number
1334,Nautical
1335,American West
1336,"Farming, Prehistoric"
1338,Trains
1339,"Adventure, Fantasy, Fighting"
1343,"Adventure, Medieval, Theme_Books / Libraries"
1345,Renaissance
1346,"Trains, Racing"
1348,"Adventure, Animals, Maze"
1350,Fantasy
1351,"Adventure, Fantasy"
1352,Theme_Tropical Islands
1353,Humor
1354,Fantasy
1356,"Horror, Racing, Theme_Witches"
1362,Trivia
1364,"Nautical, Pirates"
1367,"Animals, Racing, Sports"
1370,"Adventure, Fantasy, Fighting, Medieval, Racing"
1371,"Aviation / Flight, World War II"
1372,"Aviation / Flight, World War II"
1373,"Nautical, World War II"
1375,"Nautical, World War II"
1376,Mafia
1378,"Transportation, Mythology, Ancient, Nautical"
1380,"Animals, Racing, Sports"
1381,"Adventure, Fantasy, Movies / TV / Radio theme, Video Game Theme, Theme_Anime / Manga"
1382,"Animals, Racing, Sports"
1387,Transportation
1390,"Nautical, Racing"
1391,"Adventure, Ancient"
1396,"Ancient, Racing"
1397,"Aviation / Flight, Theme_Food / Cooking"
1398,"Fighting, Mafia"
1400,"Renaissance, Nautical"
1402,Prehistoric
1404,"Sports, Theme_Beaches"
1405,Science Fiction
1406,"Economic, Theme_Cereal Games"
1407,Theme_Jail / Prison (Modern)
1408,"Science Fiction, Theme_Kaiju"
1409,"Comic Book / Strip, Racing, Theme_Superheroes"
1410,"Racing, Theme_Dolls"
1411,"Economic, Medieval, Political"
1412,Theme_Fashion
1413,"Modern Warfare, Nautical, Theme_Submarines"
1414,Sports
1417,Murder/Mystery
1420,Economic
1421,"Fantasy, Fighting, Medieval"
1422,"Adventure, Ancient"
1423,World War II
1424,Trivia
1425,World War II
1426,"Adventure, Fantasy, Novel-based"
1428,Trivia
1430,"Ancient, Theme_Sieg"
1431,"Nautical, World War II"
1433,Sports
1434,"Economic, Transportation"
1435,Science Fiction
1436,Economic
1437,Economic
1439,Animals
1442,"Nautical, World War II"
1444,Ancient
1447,"Economic, Transportation, Post-Napoleonic, Trains"
1448,Trains
1450,"Fantasy, Medieval"
1451,Racing
1453,"Medical, Horror"
1460,Theme_Earthquakes
1463,"Comic Book / Strip, Theme_Mad Science / Mad Scientist"
1465,Fantasy
1467,"Adventure, Fighting, Science Fiction, Maze"
1468,Trivia
1470,Travel
1471,"Fighting, Mafia"
1473,Ancient
1475,Economic
1477,"World War II, Political"
1480,"Economic, Civilization, Medieval, Ancient, Political"
1482,Trivia
1484,Theme_Art
1489,"Economic, Movies / TV / Radio theme, American West, Humor, Theme_Movie Industry"
1491,"Economic, Science Fiction"
1493,"Economic, Transportation, Trains"
1496,Ancient
1497,"Prehistoric, Theme_Time Travel"
1498,Sports
1499,"Nautical, World War II"
1501,Theme_Art
1502,Economic
1503,"Modern Warfare, Arabian"
1504,"Adventure, Arabian"
1506,"Economic, Renaissance, Religious, Political, Theme_Colonial"
1508,Nautical
1509,"Aviation / Flight, World War I"
1510,Political
1511,"Adventure, Theme_Survival"
1513,"Ancient, Political"
1516,"Racing, Sports"
1517,"Fighting, Theme_Anime / Manga"
1518,"Economic, Industry / Manufacturing, Math"
1519,"Fighting, Horror, Mature / Adult"
1522,Economic
1525,"Civil War, Post-Napoleonic, American Civil War"
1527,"Prehistoric, Racing"
1530,Fighting
1531,"Fighting, Medieval"
1534,Aviation / Flight
