bgg_id,publisher
82,GMT Games
82,Low-Exp Publisher
83,Milton Bradley
83,Hasbro
84,Wargames Club Publishing
84,DiceTree Games
84,Devir
84,GMT Games
84,Udo Grebe Gamedesign
84,Low-Exp Publisher
85,Hans im Glück
85,999 Games
85,Descartes Editeur
85,Rio Grande Games
85,Filosofia Éditions
85,Användbart Litet Företag
85,Gabinete Lúdico
86,999 Games
86,Rio Grande Games
86,AMIGO
87,University Games
87,Doris & Frank
88,Milton Bradley
88,Low-Exp Publisher
89,Milton Bradley
90,Milton Bradley
90,Jedko Games
90,Nova Game Designs
90,Low-Exp Publisher
91,Milton Bradley
92,Mayfair Games
93,Hans im Glück
93,Rio Grande Games
94,"Valley Games, Inc."
94,The Avalon Hill Game Co
94,Heidelberger Spieleverlag
94,Low-Exp Publisher
95,Moskito Spiele
96,Edge Entertainment
96,Fantasy Flight Games
96,Hobby Japan
96,"Korea Boardgames Co., Ltd."
96,Lautapelit.fi
96,The Avalon Hill Game Co
96,Midgaard Games
96,"Swan Panasia Co., Ltd."
96,Ubik
96,Altar Games
96,Delta Vision Publishing
96,Nexus Editrice
97,Edge Entertainment
97,Kaissa Chess & Games
97,Pegasus Spiele
97,Eagle-Gryphon Games
97,"U.S. Games Systems, Inc."
98,Rio Grande Games
98,Schmidt Spiele
98,Don & Co.
99,KOSMOS
99,Historien Spiele Galerie (Historien Spielegalerie)
99,Tilsit
100,Grow Jogos e Brinquedos
100,Schmidt Spiele
100,Ravensburger
100,F.X. Schmid
100,Dino Toys s. r. o.
100,REGIO Játék
100,Vini-Spil
100,Low-Exp Publisher
101,Hasbro
101,Face2Face Games
101,Parker Brothers
102,Descartes Editeur
102,Edge Entertainment
102,Fantasy Flight Games
102,Galakta
102,Lautapelit.fi
102,Hobby World
102,Giochi Uniti
102,Eurogames
102,Ubik
102,Heidelberger Spieleverlag
102,Z-Man Games
102,Arclight
102,Nexus Editrice
102,Low-Exp Publisher
103,Berliner Spielkarten
103,BoardM Factory
103,Playte
103,数寄ゲームズ (Suki Games)
104,(Self-Published)
105,Edge Entertainment
105,"Korea Boardgames Co., Ltd."
105,Schmidt Spiele
105,Kaissa Chess & Games
105,Stratelibri
105,"Swan Panasia Co., Ltd."
105,"New Games Order, LLC"
105,Eagle-Gryphon Games
105,Face2Face Games
105,Siam Board Games
106,PS-Games
106,AMIGO
106,Bergsala Enigma (Enigma)
106,Hasbro
106,Play Factory
106,Wizards of the Coast
106,Darwin Project
106,Halloween Concept
107,Rio Grande Games
107,KOSMOS
107,Crown & Andrews Ltd.
107,Goliath Games
108,Hans im Glück
108,Lautapelit.fi
108,Wargames Club Publishing
108,Kaissa Chess & Games
108,DiceTree Games
108,"New Games Order, LLC"
108,Mayfair Games
108,Pegasus Spiele
108,Galápagos Jogos
108,Matagot
108,Land of Beautiful Mind (سرزمین ذهن زیبا)
108,Arrakis Games
108,Asmodee Italia
108,CMON Global Limited
108,GeGe Co. Ltd.
108,Lavka Games
108,Oink Games
108,Rebel Sp. z o.o.
108,Low-Exp Publisher
109,Hans im Glück
109,Edge Entertainment
109,Fantasy Flight Games
109,Midgaard Games
109,"Swan Panasia Co., Ltd."
109,Bergsala Enigma (Enigma)
109,ADC Blackfire Entertainment
109,Arclight
109,cutia.ro
109,Delta Vision Publishing
109,Fantasmagoria
109,MINDOK
109,Low-Exp Publisher
110,The Avalon Hill Game Co
110,Ravensburger
110,alea
110,Überplay
110,F.X. Schmid
110,Jumbo
110,Gibsons
110,Vini-Spil
110,G&RRR
110,MIKA
111,Descartes Editeur
111,Hobby Japan
111,The Avalon Hill Game Co
112,Hans im Glück
112,AMIGO
112,Mayfair Games
113,Z-Man Games
113,Doris & Frank
114,Rio Grande Games
114,Wargames Club Publishing
114,Eagle-Gryphon Games
114,Group SNE
114,Egmont Polska
114,Goldsieber Spiele
114,TWOPLUS Games
114,cosaic
115,University Games
115,Upstarts
115,Winning Moves UK Ltd.
115,Low-Exp Publisher
116,The Avalon Hill Game Co
117,"Swan Panasia Co., Ltd."
117,DiceTree Games
117,Ravensburger
117,F.X. Schmid
117,Eagle-Gryphon Games
117,förlAgo AB
117,Arclight
117,Cappelen
117,IELLO
117,White Goblin Games
117,Rebel Sp. z o.o.
117,Burley Games
117,Cranio Creations
117,Play Smart
117,Spear's Games
117,Low-Exp Publisher
118,Mayfair Games
119,999 Games
119,Rio Grande Games
119,KOSMOS
119,Kaissa Chess & Games
119,Filosofia Éditions
119,Laser plus
119,Tilsit
120,2F-Spiele
121,Rio Grande Games
121,KOSMOS
121,Tilsit
122,999 Games
122,Tilsit
122,Goldsieber Spiele
123,AMIGO
124,Giochi Uniti
124,Piatnik
124,Ravensburger
124,Asmodee
124,danspil
124,AS Company
124,Kod Kod
124,Venice Connection
124,Jumbo
124,Pressman Toy Corp.
124,Gibsons
124,Goliath Games
124,Peliko
124,Week End Games
124,Low-Exp Publisher
125,Eon
125,Hexagames (I)
126,"Korea Boardgames Co., Ltd."
126,Schmidt Spiele
126,Fractal Juegos
126,Kaissa Chess & Games
126,Hasbro
126,Crown & Andrews Ltd.
126,Waddingtons
126,Clipper
126,Editrice Giochi
126,Parker Brothers
126,(Self-Published)
126,Arclight
126,Spear's Games
126,Copp Clark Publishing Company
126,Fundex
126,Grimaud
126,Holdson
126,John Waddington Ltd.
126,Nordic Games GmbH
126,Repos Production
126,Russimco Games
126,Winning Moves Games (USA)
126,Yetem S.A.
126,Low-Exp Publisher
127,999 Games
127,ABACUSSPIELE
127,Rio Grande Games
127,Grünspan-Spiele
128,Rio Grande Games
128,Goldsieber Spiele
129,White Wind
130,Ravensburger
130,Otto Maier Verlag
131,Wargames Club Publishing
131,Überplay
131,Editrice Giochi
132,Stronghold Games
132,Pegasus Spiele
132,Hexagames (I)
132,Low-Exp Publisher
133,Schmidt Spiele
134,Lautapelit.fi
134,Historien Spiele Galerie (Historien Spielegalerie)
134,Goldsieber Spiele
134,Ferti
134,Low-Exp Publisher
135,ABACUSSPIELE
136,Rio Grande Games
136,AMIGO
136,DiceTree Games
136,Doris & Frank
137,AMIGO
137,G3
138,Winsome Games
139,Moskito Spiele
139,"New Games Order, LLC"
140,Ravensburger
140,Otto Maier Verlag
141,Mayfair Games
142,Grow Jogos e Brinquedos
142,TSR
142,Steve Jackson Games
143,Milton Bradley
143,Schmidt Spiele
143,Mattel
143,Hasbro
143,Canada Games
143,Parker Brothers
143,Tactic
143,Casper
143,Drumond Park Ltd.
143,Popular de Juguetes
143,Target Games
143,"The Game Works, Inc."
143,"The Games Gang, LTD"
143,Ventura Games
143,Western Publishing Company
143,Low-Exp Publisher
144,Cheapass Games
145,Alga
145,Waddingtons
145,franjos Spieleverlag
145,Clipper
145,Parker Brothers
145,Capiépa - Jeux Éducatifs
146,Devir
146,Sphinx Spieleverlag
146,Low-Exp Publisher
147,ABACUSSPIELE
148,Mayfair Games
149,ABACUSSPIELE
149,"New Games Order, LLC"
149,Eagle-Gryphon Games
149,Ferti
150,Lookout Games
150,Stratelibri
150,Asmodee
150,Mayfair Games
150,Truant Spiele
150,ADC Blackfire Entertainment
150,Low-Exp Publisher
151,E.S. Lowe
151,Milton Bradley
151,3M
151,Schmidt International
151,Schmidt Spiele
151,Lagoon Games
151,Mattel
151,Piatnik
151,(Unknown)
151,Hasbro
151,Wizards of the Coast
151,Waddingtons
151,Parker Brothers
151,(Public Domain)
151,Cardinal
151,"Friendly Games, Inc."
151,Jumbo
151,Paul Lamond Games Ltd
151,Pressman Toy Corp.
151,The Op
151,Walt Disney Productions
151,Sophisticated Games
151,Hexagames (I)
151,Gibsons
151,Excalibur Electronics
151,Tactic
151,Spear's Games
151,Fundex
151,Holdson
151,Winning Moves Games (USA)
151,Western Publishing Company
151,ABRA
151,Alexander
151,Ancient Chess
151,Arrco Playing Card Co.
151,"Bello Games New York, Inc."
151,Berwick's Toy Co. Ltd.
151,Bisonte
151,Blatz
151,CHH Games
151,"Cayro, the games"
151,Chad Valley Co Ltd.
151,Challenge Master Game Co Ltd
151,Classic Games
151,Coca-Cola
151,Creative Crafthouse
151,Crisloid
151,Dal Negro
151,David Westnedge
151,De La Rue
151,Deuce
151,Dilemma Games
151,Dourios
151,Dynamic Games / Dynamic Design Industries
151,Efko
151,Estrela
151,F. W. Woolworth Company
151,Fame Products
151,Game Factory
151,Golden
151,H. Baron
151,Hartung-Spiele
151,Hausemann & Hötte N.V.
151,Homas Spelen
151,House Martin
151,House of Marbles
151,Inovac Rima SA
151,Invicta Games
151,John Jaques of London
151,K & C Ltd
151,King International
151,Kitfix Swallow Group
151,Klee
151,Klopffleisch
151,L. P. Septímio
151,LEGO
151,Lindop (William Lindop LTD)
151,Longfield Games
151,Ludens Planet
151,MB Jeux
151,MB Spellen
151,Magnetic Poetry Inc
151,Majora
151,Marigó
151,Masters Games
151,Melissa & Doug
151,Merit
151,Millenium
151,Monkey Pod Games
151,Neroulia
151,"Nintendo Co., Ltd."
151,Noris Spiele
151,Oriental Trading Company
151,Pacific Game Company
151,Patch Products
151,Pavilion
151,Peri Spiele
151,Piet Hein A/S
151,Pin International
151,Pleasantime Games
151,Poptoy
151,Ramsons
151,"Research Games, Inc. / Athol / RGI / ARC"
151,"Sababa Toys, Inc."
151,Selchow & Righter
151,Si-Si-Spiele
151,Skor-Mor
151,Sterling Games
151,Super Accord
151,Søstrene Grene
151,Tesco
151,The Purple Cow
151,Thomas Salter Ltd
151,Toy Brokers Ltd
151,U3
151,Vilac
151,Volume-One Products
151,WHSmith
151,Westside Fun Games
151,Wicked Vision
151,WizKids
151,"Wm F. Drueke & Sons, Inc."
151,Wood Expressions
151,"WorldWise Imports, LLC"
151,nestorgames
151,Low-Exp Publisher
152,Portal Games
152,Wargames Club Publishing
152,Albi
152,Brain Games
152,Kaissa Chess & Games
152,PaperGames (III)
152,"New Games Order, LLC"
152,Ravensburger
152,Überplay
152,Competo / Marektoy
152,Top Toys
152,F.X. Schmid
152,Eagle-Gryphon Games
152,Heidelberger Spieleverlag
152,Siam Board Games
152,IELLO
152,Gabinete Lúdico
152,2 Pionki
152,"AURUM, Inc."
152,Compaya.hu - Gamer Café Kft.
152,Geekach Games
152,Jolly Thinkers
152,MEBO Games
152,NeoTroy Games
152,uplay.it edizioni
152,Взрослые дети
152,Нескучные игры
152,פרש משחקים - Game Knight
152,Low-Exp Publisher
153,999 Games
153,Descartes Editeur
153,Asmodee
153,Eurogames
153,Ludodélire
153,Fantasy Shop
153,Low-Exp Publisher
154,Hans im Glück
154,Rio Grande Games
155,"Korea Boardgames Co., Ltd."
155,Gigamic
155,AMIGO
155,Corfix
155,Möbius Games
155,"Swan Panasia Co., Ltd."
155,Ravensburger
155,Asmodee
155,F.X. Schmid
155,Waddingtons
155,Winning Moves Games (USA)
155,Dal Negro
155,Morapiaf
155,Oliphante
156,Cheapass Games
156,Truant Spiele
156,Steve Jackson Games
156,Low-Exp Publisher
157,Användbart Litet Företag
157,Blatz
157,nestorgames
158,AMIGO
158,Low-Exp Publisher
159,F.X. Schmid
160,Grow Jogos e Brinquedos
160,Schmidt Spiele
160,Brädspel.se
160,Alga
160,(Unknown)
160,Hasbro
160,Waddingtons
160,Borras Plana S.A.
160,Clipper
160,Editrice Giochi
160,Miro Company
160,Palitoy Ltd.
160,Parker Brothers
160,Winning Moves Games (USA)
160,Majora
160,Barnes & Noble
160,Carlit
160,El Greco
160,Guau
160,Juegos Crone
160,Nilco S.A.
160,Smeets & Schippers
160,Tomy
161,Playroom Entertainment
161,Kanga Games
161,Nasza Księgarnia
161,Spiel Spass
161,W. Nostheide Verlag GmbH
162,Blatz
162,Pin International
163,Cheapass Games
163,"Greater Than Games, LLC"
164,Hasbro
164,Parker Brothers
164,Low-Exp Publisher
165,E.S. Lowe
165,Milton Bradley
165,"Korea Boardgames Co., Ltd."
165,3M
165,Dujardin
165,Schmidt International
165,Schmidt Spiele
165,The Avalon Hill Game Co
165,Ravensburger
165,Alga
165,(Unknown)
165,Waddingtons
165,Borras Plana S.A.
165,(Public Domain)
165,(Self-Published)
165,Jumbo
165,Gamma Two Games
165,Spear's Games
165,Copp Clark Publishing Company
165,Otto Maier Verlag
165,CHH Games
165,"Cayro, the games"
165,Creative Crafthouse
165,Crisloid
165,Dal Negro
165,Dilemma Games
165,Dynamic Games / Dynamic Design Industries
165,Fame Products
165,Hartung-Spiele
165,L. P. Septímio
165,Longfield Games
165,Monkey Pod Games
165,Pacific Game Company
165,Skor-Mor
165,Volume-One Products
165,"Wm F. Drueke & Sons, Inc."
165,Wood Expressions
165,"WorldWise Imports, LLC"
165,nestorgames
165,Barnes & Noble
165,Ariel Productions Ltd
165,Cathay
165,Das Spiel
165,Gammon Games
165,Gentosha Education
165,Geoludie
165,HEMA
165,Hausser
165,Hobby
165,"John N. Hansen Co., Inc."
165,L'Impensé Radical
165,Michael Stanfield
165,Mitra
165,Philos
165,Reiss Games
165,"The Game Crafter, LLC"
165,Woodstock Spiele
165,Low-Exp Publisher
166,KOSMOS
167,Hans im Glück
168,"Korea Boardgames Co., Ltd."
168,AMIGO
168,Lifestyle Boardgames Ltd
168,Oya
168,Nasza Księgarnia
169,ABACUSSPIELE
169,PS-Games
169,Game Factory
169,HOT Games
169,Low-Exp Publisher
170,Low-Exp Publisher
171,Milton Bradley
172,The Avalon Hill Game Co
172,"New Games Order, LLC"
172,Fata Morgana Spiele
173,Low-Exp Publisher
174,F.X. Schmid
175,Hans im Glück
175,999 Games
175,"Korea Boardgames Co., Ltd."
175,Rio Grande Games
175,Broadway Toys LTD
175,Mercurio
175,Mayfair Games
175,Ludodélire
175,Arclight
175,Mandoo Games
175,Tactic
175,Act in games
175,Fabrika Igr
175,FoxGames
175,FoxMind
175,Last Level
175,Litas Spil
175,Nelospelit
175,Olsen
176,999 Games
176,Mayfair Games
176,Goldsieber Spiele
177,999 Games
177,KOSMOS
177,Tilsit
177,OPEN'N PLAY
177,db-Spiele
177,White Goblin Games
177,リゴレ (rigoler)
178,Jumbo
179,999 Games
179,Rio Grande Games
179,Pegasus Spiele
179,Grail Games
179,Group SNE
180,F.X. Schmid
180,テンデイズゲームズ (Ten Days Games)
181,AMIGO
181,Wizards of the Coast
182,Ravensburger
182,F.X. Schmid
183,Hasbro
183,Parker Brothers
183,Game Office
183,ToyCo
184,Milton Bradley
184,Hasbro
184,MB Jeux
184,Blackrock Games
184,Cocktail Games
184,MB Spiele
185,Rio Grande Games
185,Mattel
185,AMIGO
185,Kaissa Chess & Games
185,"Swan Panasia Co., Ltd."
185,Low-Exp Publisher
186,999 Games
186,ABACUSSPIELE
186,"Korea Boardgames Co., Ltd."
186,Rio Grande Games
186,Hobby World
186,G3
186,"Swan Panasia Co., Ltd."
186,Filosofia Éditions
186,Vennerød Forlag AS
186,HomoLudicus
186,Playhouse Ltd
186,uplay.it edizioni
186,Fata Morgana Spiele
186,TIKI Editions
