bgg_id,publisher
147,ABACUSSPIELE
148,Mayfair Games
149,"ABACUSSPIELE, New Games Order, LLC, Eagle-Gryphon Games, Ferti"
150,"Lookout Games, Stratelibri, Asmodee, Mayfair Games, Truant Spiele, ADC Blackfire Entertainment, Low-Exp Publisher"
151,"E.S. Lowe, Milton Bradley, 3M, Schmidt International, Schmidt Spiele, Lagoon Games, Mattel, Piatnik, (Unknown), Hasbro, Wizards of the Coast, Waddingtons, Parker Brothers, (Public Domain), Cardinal, Friendly Games, Inc., Jumbo, Paul Lamond Games Ltd, Pressman Toy Corp., The Op, Walt Disney Productions, Sophisticated Games, Hexagames (I), Gibsons, Excalibur Electronics, Tactic, Spear's Games, Fundex, Holdson, Winning Moves Games (USA), Western Publishing Company, ABRA, Alexander, Ancient Chess, Arrco Playing Card Co., Bello Games New York, Inc., Berwick's Toy Co. Ltd., Bisonte, Blatz, CHH Games, Cayro, the games, Chad Valley Co Ltd., Challenge Master Game Co Ltd, Classic Games, Coca-Cola, Creative Crafthouse, Crisloid, Dal Negro, David Westnedge, De La Rue, Deuce, Dilemma Games, Dourios, Dynamic Games / Dynamic Design Industries, Efko, Estrela, F. W. Woolworth Company, Fame Products, Game Factory, Golden, H. Baron, Hartung-Spiele, Hausemann & Hötte N.V., Homas Spelen, House Martin, House of Marbles, Inovac Rima SA, Invicta Games, John Jaques of London, K & C Ltd, King International, Kitfix Swallow Group, Klee, Klopffleisch, L. P. Septímio, LEGO, Lindop (William Lindop LTD), Longfield Games, Ludens Planet, MB Jeux, MB Spellen, Magnetic Poetry Inc, Majora, Marigó, Masters Games, Melissa & Doug, Merit, Millenium, Monkey Pod Games, Neroulia, Nintendo Co., Ltd., Noris Spiele, Oriental Trading Company, Pacific Game Company, Patch Products, Pavilion, Peri Spiele, Piet Hein A/S, Pin International, Pleasantime Games, Poptoy, Ramsons, Research Games, Inc. / Athol / RGI / ARC, Sababa Toys, Inc., Selchow & Righter, Si-Si-Spiele, Skor-Mor, Sterling Games, Super Accord, Søstrene Grene, Tesco, The Purple Cow, Thomas Salter Ltd, Toy Brokers Ltd, U3, Vilac, Volume-One Products, WHSmith, Westside Fun Games, Wicked Vision, WizKids, Wm F. Drueke & Sons, Inc., Wood Expressions, WorldWise Imports, LLC, nestorgames, Low-Exp Publisher"
152,"Portal Games, Wargames Club Publishing, Albi, Brain Games, Kaissa Chess & Games, PaperGames (III), New Games Order, LLC, Ravensburger, Überplay, Competo / Marektoy, Top Toys, F.X. Schmid, Eagle-Gryphon Games, Heidelberger Spieleverlag, Siam Board Games, IELLO, Gabinete Lúdico, 2 Pionki, AURUM, Inc., Compaya.hu - Gamer Café Kft., Geekach Games, Jolly Thinkers, MEBO Games, NeoTroy Games, uplay.it edizioni, Взрослые дети, Нескучные игры, פרש משחקים - Game Knight, Low-Exp Publisher"
153,"999 Games, Descartes Editeur, Asmodee, Eurogames, Ludodélire, Fantasy Shop, Low-Exp Publisher"
154,"Hans im Glück, Rio Grande Games"
155,"Korea Boardgames Co., Ltd., Gigamic, AMIGO, Corfix, Möbius Games, Swan Panasia Co., Ltd., Ravensburger, Asmodee, F.X. Schmid, Waddingtons, Winning Moves Games (USA), Dal Negro, Morapiaf, Oliphante"
156,"Cheapass Games, Truant Spiele, Steve Jackson Games, Low-Exp Publisher"
